asic,review
B08W8DGK3X,"
I stumbled on this pc while looking for parts to build a new computer. The price of this thing is a steal at 1100 dollars. 11th gen I7, 3060ti, water-cooled. It was a great deal. So, after it arrived, I've been playing on it for over 2 weeks. It has been running beautifully, it plays Elden Ring on Ultra just fine, Cyberpunk on high settings at a consistent 60fps, and Overwatch 2 on ultra (I play on 1080p not 4k, keep that in mind). My cpu temps run just fine as well, it averages around 50c with a workload on it and gpu temps are around 60c. Max I've seen them run is 70c but I went into MSI Center and ramped my fans up to 100% and they lowered quite a bit. Now, the downfall of this pc is the RAM. I was promised 16gb of 3200mhz ram. It currently sits at 2667mhz as I am typing this. My friend has this exact PC and his runs at 3200. So I'm not sure what's going on here but my RAM is definitely off. I have ordered 32gb of 3200mhz that is on the way. Which I planned on upgrading the ram anyway, but i had to buy 4 sticks instead of 2 sticks. Also, I do not trust this water-cooler or Power supply. Both are off brand and I plan on replacing them before they go out. I know I have said some pretty big cons in this review, however, I think this is a great pc so far. It hasn't let me down yet, the m.2 is fast as hell. I really like it, but I do plan on making upgrades to it soon for longevity and efficiency.
"
B08W8DGK3X,"
UPDATE: Support did get back to me and in the process of getting information about the RAM modules, they are not both working and I have the advertised 16gb. I've updated the rating to four stars because support was still quite slow to get back to me and there wasn't a quicker, more direct way to contact them. The computer works as intended now and the damaged case isn't the manufacturer's fault.ORIGINAL REVIEW:Arrived with some cosmetic damage to the top front of the case. This isn't the seller/manufacturer's fault but certainly worth noting. It runs fine and has a lot of performance for the money. The reason it gets one star is because Windows is only reporting 8gb of RAM, and it's supposed to have 16. I checked to make sure both sticks are seated but still only showing 8gb. I contacted support through the only method possible - a form on their website. I've heard nothing back besides the automated reply. It's been five days. I am also unable to register it because it seems like the model is discontinued and the model isn't an option on the registration form. Overall the computer is fine, notwithstanding defective RAM. However, five days and no reply after I've received a defective product is unacceptable and I cannot recommend this  computer based on that alone.
"
B08W8DGK3X,"
Zotac may not be the top brand but their pre-builts are amazing. I got this on sale for 1,100. At this time a 3060 ti/AIO/ 1TB SSD/a good i7 processor/motherboard with room to upgrade. This is amazing. Spent months looking at pre builds...none of the top brands gave you this much for 1.1k anything close to this is 1.3k without AIO and 500gb ssd.. and a cheaper processor and motherboard. The build is a little loud but good temps and that Zotac 3060 TI is a champ. If you see this build for 1.1k or less again BUY IT you won't find a better deal. Also this is 100% plug and play it's all ready to go 👍
"
B08W8DGK3X,"
Bought this lovely piece of hardware with Amazon's payment plan, and I'm  VERY glad for that. After the first payment, they send you the product, and you pay in monthly parts. THAT BEING SAID, This card is great for what I need. I've been creating 3D assets, VRchat Worlds, and VRchat Avatars, along with more Digital Artwork, and it's been able to handle it beautifully. Not to mention being able to finally play newer PC games, which is a plus.
"
B08W8DGK3X,"
I got this at a huge discount (1200) but it wouldn't be worth it at full price. AIO was scuffed up which had me worried CPU was damaged and wouldn't even boot but it did, one of the fans on AIO radiator has a decent wobble to it. One of the display port connections in the graphics card is extremely temperamental and goes off for like no reason at all.Aside from that, its starts, runs and operates like anything you could ever expect out of a base model gaming computer.
"
B08W8DGK3X,"
I'm not a bleeding-edge enthusiast, but I love seeing the best in my games. I upgraded from a GTX 1050, and this card has let me max-out my settings without breaking the bank!Games that run great at 1080p, 60hz, max settings:-Control-Cyberpunk 2077-Doom: Eternal-Elden Ring-Outriders-RDR2Overall, a great card for modern gaming. It'll be a long time before I'll be needing another upgrade.
"
B08W8DGK3X,"




                    The media could not be loaded.
                



 Bought this 3060 about 4 months ago and haven't had a single problem with it. Looks good. Performs great for its tier. Fans are loud at 100% but that makes sense. Now as far as over clocking. I've been able to go up to 160 on the core and haven't tried anything higher than 1000 on the memory. It was stable on almost all of my games other than Warzone. So I brought it down to 150 on the core and 800 on the memory and haven't had one game crash sense. I'm very impressed with this card. To be fair I didn't leave it at this high of an overclock. I just wanted to see where it would be stable. I currently run it all the time at 120 core and 500 memory with custom fan curve. It never gets above 63c and in gaming never gets over 58c. Zotac will be my number one choice for GPUs from here on out.
"
B08W8DGK3X,"
Great graphics card i have been using zotac for 5 years and it never lets me down.  Make sure you download a software to make gpu fans run faster so temperatures are not high.  If you know how to modify fans i suggest to do it so you wont kill this gpu in a year.  This is a special kind of gpu with 12gb it can play anything just make sure you have good ventilation in your case.
"
B08W8DGK3X,"
This gpu works great, tho the couple problems I have are the fan noise level when it turns on, the warm plastic smell still comes and goes and the metal rack on the back came bent so I couldn't properly screw it in (had to diy it). The last one is probably my biggest issue. I bought it new but tbh I'd expect nothing less from something ""made in China"" sadly.
"
B08W8DGK3X,"
I was looking for a mid sized yet powerful VGA for a good price and so far I'm lovin this video card!
"
